Time,Speed_des,Speed,Duty_Cycle,Position
0.06,1.0,0.01,3.33,0.28
0.15,1.0,0.45,3.33,0.11
0.25,1.0,0.6,3.33,-0.01
0.35,1.0,0.73,3.33,-0.18
0.45,1.0,0.77,3.33,-0.28
0.55,1.0,0.83,3.33,-0.43
0.65,1.0,0.84,3.33,-0.55
0.75,1.0,0.85,3.33,-0.65
0.85,1.0,0.88,3.33,-0.77
0.94,1.0,0.88,3.33,-0.89
1.04,1.0,0.97,3.33,-0.99
1.14,1.0,0.97,3.33,-1.09
1.24,1.0,1.0,3.33,-1.16
1.34,1.0,0.97,3.33,-1.26
1.44,1.0,0.97,3.33,-1.31
1.53,1.0,0.95,3.33,-1.43
1.63,1.0,0.97,3.33,-1.53
1.73,1.0,0.97,3.33,-1.6
1.83,1.0,0.96,3.33,-1.67
1.93,1.0,0.98,3.33,-1.75
2.03,1.0,0.99,3.33,-1.82
2.13,1.0,1.01,3.33,-1.89
2.23,1.0,1.15,3.33,-1.97
2.33,1.0,1.17,3.33,-2.07
2.42,1.0,1.18,3.33,-2.11
2.52,1.0,1.19,3.33,-2.19
2.62,1.0,1.18,3.33,-2.24
2.72,1.0,1.19,3.33,-2.28
2.82,1.0,1.19,3.33,-2.36
2.92,1.0,1.18,3.33,-2.41
3.02,1.0,1.18,3.33,-2.46
3.11,1.0,1.17,3.33,-2.5
3.21,1.0,1.01,3.33,-2.58
3.31,1.0,1.0,3.33,-2.6
3.41,1.0,1.01,3.33,-2.65
3.51,1.0,1.0,3.33,-2.68
3.61,1.0,1.01,3.33,-2.72
3.71,1.0,1.0,3.33,-2.75
3.8,1.0,1.01,3.33,-2.82
3.9,1.0,1.02,3.33,-2.82
4.0,1.0,1.03,3.33,-2.87
4.1,1.0,1.02,3.33,-2.9
4.2,1.0,1.04,3.33,-2.94
4.3,1.0,1.03,3.33,-2.94
4.4,1.0,1.04,3.33,-2.99
4.49,1.0,1.04,3.33,-2.99
4.59,1.0,1.04,3.33,-3.04
4.69,1.0,1.03,3.33,-3.04
4.79,1.0,1.04,3.33,-3.09
4.89,1.0,1.02,3.33,-3.09
4.99,1.0,1.01,3.33,-3.12
5.09,1.0,1.02,3.33,-3.16
5.19,1.0,1.0,3.33,-3.16
5.28,1.0,1.0,3.33,-3.16
5.38,1.0,1.01,3.33,-3.21
5.48,1.0,1.0,3.33,-3.24
5.58,1.0,1.01,3.33,-3.24
5.68,1.0,1.14,3.33,-3.24
5.78,1.0,1.17,3.33,-3.26
5.88,1.0,1.37,3.33,-3.29
5.97,1.0,1.36,3.33,-3.29
6.07,1.0,1.35,3.33,-3.29
6.17,1.0,1.39,3.33,-3.31
6.27,1.0,1.39,3.33,-3.34
6.37,1.0,1.39,3.33,-3.34
6.47,1.0,1.39,3.33,-3.36
6.57,1.0,1.38,3.33,-3.36
6.66,1.0,1.25,3.33,-3.38
6.76,1.0,1.21,3.33,-3.38
6.86,1.0,1.04,3.33,-3.38
6.96,1.0,1.04,3.33,-3.41
7.06,1.0,1.04,3.33,-3.41
7.16,1.0,1.02,3.33,-3.41
7.26,1.0,1.01,3.33,-3.43
7.35,1.0,1.03,3.33,-3.41
7.45,1.0,1.03,3.33,-3.43
7.55,1.0,1.04,3.33,-3.46
7.65,1.0,1.05,3.33,-3.46
7.75,1.0,1.06,3.33,-3.46
7.85,1.0,1.04,3.33,-3.46
7.95,1.0,1.07,3.33,-3.48
8.05,1.0,1.06,3.33,-3.46
8.14,1.0,1.04,3.33,-3.48
8.24,1.0,1.06,3.33,-3.48
8.34,1.0,1.02,3.33,-3.48
8.44,1.0,1.03,3.33,-3.48
8.54,1.0,1.01,3.33,-3.48
8.64,1.0,1.01,3.33,-3.51
8.73,1.0,1.0,3.33,-3.51
8.83,1.0,1.0,3.33,-3.51
8.93,1.0,1.0,3.33,-3.51
9.03,1.0,1.0,3.33,-3.51
9.13,1.0,1.0,3.33,-3.51
9.23,1.0,0.99,3.33,-3.51
9.33,1.0,1.0,3.33,-3.51
9.43,1.0,1.0,3.33,-3.51
9.52,1.0,1.0,3.33,-3.51
9.62,1.0,0.99,3.33,-3.51
9.72,1.0,1.01,3.33,-3.53
9.82,1.0,1.01,3.33,-3.53
9.92,1.0,1.0,3.33,-3.53
10.02,1.0,1.01,3.33,-3.51
10.12,1.0,1.01,3.33,-3.53
10.21,1.0,1.02,3.33,-3.51
10.31,1.0,1.02,3.33,-3.53
10.41,1.0,1.02,3.33,-3.53
10.51,1.0,1.01,3.33,-3.51
10.61,1.0,1.02,3.33,-3.53
10.71,1.0,1.01,3.33,-3.53
10.8,1.0,1.01,3.33,-3.53
10.9,1.0,1.01,3.33,-3.53
11.0,1.0,1.02,3.33,-3.51
11.1,1.0,1.02,3.33,-3.53
11.2,1.0,1.03,3.33,-3.56
11.3,1.0,1.03,3.33,-3.53
11.4,1.0,1.04,3.33,-3.53
11.5,1.0,1.04,3.33,-3.53
11.59,1.0,1.03,3.33,-3.56
11.69,1.0,1.05,3.33,-3.53
11.79,1.0,1.05,3.33,-3.56
11.89,1.0,1.05,3.33,-3.56
11.99,1.0,1.04,3.33,-3.56
12.09,1.0,1.05,3.33,-3.56
12.19,1.0,1.04,3.33,-3.53
12.28,1.0,1.04,3.33,-3.56
12.38,1.0,1.03,3.33,-3.53
12.48,1.0,1.03,3.33,-3.56
12.58,1.0,1.03,3.33,-3.53
12.68,1.0,1.02,3.33,-3.56
12.78,1.0,1.02,3.33,-3.53
12.88,1.0,1.02,3.33,-3.56
12.98,1.0,1.02,3.33,-3.56
13.07,1.0,1.04,3.33,-3.56
13.17,1.0,1.03,3.33,-3.53
13.27,1.0,1.03,3.33,-3.53
13.37,1.0,1.03,3.33,-3.56
13.47,1.0,1.04,3.33,-3.56
13.57,1.0,1.03,3.33,-3.53
13.66,1.0,1.04,3.33,-3.56
13.76,1.0,1.03,3.33,-3.58
13.86,1.0,1.04,3.33,-3.58
13.96,1.0,1.03,3.33,-3.58
14.06,1.0,1.0,3.33,-3.56
14.16,1.0,1.03,3.33,-3.56
14.26,1.0,1.01,3.33,-3.56
14.36,1.0,1.05,3.33,-3.58
14.45,1.0,1.03,3.33,-3.6
14.55,1.0,1.03,3.33,-3.6
14.65,1.0,1.03,3.33,-3.63
14.75,1.0,1.03,3.33,-3.63
14.85,1.0,1.05,3.33,-3.63
14.95,1.0,1.05,3.33,-3.65
15.05,1.0,1.05,3.33,-3.63
15.14,1.0,1.07,3.33,-3.6
15.24,1.0,1.13,3.33,-3.58
15.34,1.0,1.08,3.33,-3.58
15.44,1.0,1.09,3.33,-3.56
15.54,1.0,1.11,3.33,-3.56
15.64,1.0,1.09,3.33,-3.53
15.74,1.0,1.09,3.33,-3.53
15.84,1.0,1.08,3.33,-3.53
15.93,1.0,1.08,3.33,-3.51
16.03,1.0,1.07,3.33,-3.53
16.13,1.0,1.07,3.33,-3.51
16.23,1.0,1.01,3.33,-3.51
16.33,1.0,1.03,3.33,-3.53
16.43,1.0,1.02,3.33,-3.51
16.52,1.0,1.01,3.33,-3.53
16.62,1.0,1.02,3.33,-3.51
16.72,1.0,1.03,3.33,-3.53
16.82,1.0,1.01,3.33,-3.53
16.92,1.0,1.02,3.33,-3.51
17.02,1.0,1.03,3.33,-3.53
17.11,1.0,1.01,3.33,-3.51
17.21,1.0,1.01,3.33,-3.53
17.31,1.0,1.01,3.33,-3.53
17.41,1.0,1.02,3.33,-3.51
17.51,1.0,1.02,3.33,-3.51
17.61,1.0,1.02,3.33,-3.51
17.71,1.0,1.01,3.33,-3.53
17.81,1.0,1.02,3.33,-3.51
17.9,1.0,1.02,3.33,-3.53
18.0,1.0,1.02,3.33,-3.51
18.1,1.0,1.01,3.33,-3.53
18.2,1.0,1.02,3.33,-3.51
18.3,1.0,1.02,3.33,-3.53
18.4,1.0,1.02,3.33,-3.51
18.5,1.0,1.03,3.33,-3.53
18.59,1.0,1.02,3.33,-3.51
18.69,1.0,1.04,3.33,-3.53
18.79,1.0,1.19,3.33,-3.51
18.89,1.0,1.18,3.33,-3.53
18.99,1.0,1.18,3.33,-3.53
19.09,1.0,1.18,3.33,-3.51
19.19,1.0,1.18,3.33,-3.53
19.29,1.0,1.19,3.33,-3.53
19.38,1.0,1.18,3.33,-3.51
19.48,1.0,1.2,3.33,-3.53
19.58,1.0,1.21,3.33,-3.53
19.68,1.0,1.18,3.33,-3.53
19.78,1.0,1.03,3.33,-3.53
19.88,1.0,1.04,3.33,-3.53
19.97,1.0,1.03,3.33,-3.53
20.07,1.0,1.14,3.33,-3.51
20.17,1.0,1.17,3.33,-3.53
20.27,1.0,1.16,3.33,-3.53
20.37,1.0,1.17,3.33,-3.53
20.47,1.0,1.16,3.33,-3.53
20.57,1.0,1.23,3.33,-3.53
20.67,1.0,1.24,3.33,-3.56
20.76,1.0,1.25,3.33,-3.53
20.86,1.0,1.24,3.33,-3.56
20.96,1.0,1.25,3.33,-3.53
21.06,1.0,1.16,3.33,-3.56
21.16,1.0,1.15,3.33,-3.53
21.26,1.0,1.35,3.33,-3.53
21.36,1.0,1.5,3.33,-3.53
21.45,1.0,2.2,3.33,-3.53
21.55,1.0,2.33,3.33,-3.53
21.65,1.0,2.32,3.33,-3.53
21.75,1.0,2.34,3.33,-3.53
21.85,1.0,2.56,3.33,-3.56
21.95,1.0,2.55,3.33,-3.56
22.05,1.0,2.52,3.33,-3.56
22.15,1.0,2.49,3.33,-3.53
22.24,1.0,2.31,3.33,-3.53
22.34,1.0,2.16,3.33,-3.51
22.44,1.0,1.44,3.33,-3.53
22.54,1.0,1.32,3.33,-3.51
22.64,1.0,1.58,3.33,-3.51
